Street address,Neighbourhood,Latitude,Longitude,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area_0.5,Railway Station in area_0.5,School in area_0.5,Supermarket in area_0.5,Bus Stop in area_0.5,Pub in area_0.5,Restaurant in area_0.5,Cafe in area_0.5,Dentist in area_0.5,Fast Food in area_0.5,Kindergartens in area_0.5,Malls in area_0.5,Play Ground in area_0.5,Parks in area_0.5,Post Office in area_0.5,Hospital in area_1.0,Railway Station in area_1.0,School in area_1.0,Supermarket in area_1.0,Bus Stop in area_1.0,Pub in area_1.0,Restaurant in area_1.0,Cafe in area_1.0,Dentist in area_1.0,Fast Food in area_1.0,Kindergartens in area_1.0,Malls in area_1.0,Play Ground in area_1.0,Parks in area_1.0,Post Office in area_1.0,Hospital in area_1.5,Railway Station in area_1.5,School in area_1.5,Supermarket in area_1.5,Bus Stop in area_1.5,Pub in area_1.5,Restaurant in area_1.5,Cafe in area_1.5,Dentist in area_1.5,Fast Food in area_1.5,Kindergartens in area_1.5,Malls in area_1.5,Play Ground in area_1.5,Parks in area_1.5,Post Office in area_1.5,geometry,Total_crimes (2020-2024),Average_total_crime (per_year),Total_severe_crimes (2020-2024),Average_severe_crimes (per_year),Total_moderate_crimes (2020-2024),Average_moderate_crimes (per_year),Total_minor_crimes (2020-2024),Average_minor_crimes (per_year),Class 6G,Class 5G,Class 4G,Class 3G,Class 2G,Class 1G,Class 6G_T,Class 5G_T,Class 4G_T,Class 3G_T,Class 2G_T,Class 1G_T
106 Varna Dr #TOWNHOUSE 10,englemount-lawrence,43.723122,-79.445784,729000,2 bds,3 ba,,0,1,1,0,29,0,0,3,0,0,0,0,0,0,0,0,2,2,1,64,0,4,8,0,31,0,0,0,0,0,0,3,4,3,124,0,26,13,0,44,0,0,0,0,1,POINT (-79.445784 43.723122),1112,222,473,95,390,78,249,50,3455,6740,2205,1670,1055,985,3550,7560,2150,1530,395,925
136 Regina Ave,englemount-lawrence,43.725842,-79.442193,1649900,5,2,,0,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,1,3,0,57,0,0,3,0,1,0,0,0,0,0,0,3,5,4,128,0,26,14,0,41,0,0,0,0,0,POINT (-79.442193 43.725842),1112,222,473,95,390,78,249,50,3455,6740,2205,1670,1055,985,3550,7560,2150,1530,395,925
43 Millburn Dr,eringate-centennial-west deane,43.663271,-79.56261,2699000,7 bds,5 ba,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,0,0,0,0,0,0,0,0,0,1,0,0,10,0,48,0,0,1,0,0,0,0,0,0,1,POINT (-79.56261 43.663271),976,195,257,51,504,101,215,43,3145,5185,2505,2355,1540,570,3290,6140,2675,2240,550,405
335 Mill Rd #703,eringate-centennial-west deane,43.639973,-79.584581,450000,2 bds,2 ba,"1,155 sqft",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,1,0,2,0,2,0,0,0,0,1,0,0,7,0,49,2,0,3,1,6,0,0,0,0,2,POINT (-79.584581 43.639973),976,195,257,51,504,101,215,43,3145,5185,2505,2355,1540,570,3290,6140,2675,2240,550,405
76 Dalegrove Cres,eringate-centennial-west deane,43.672876,-79.566173,2249888,9 bds,5 ba,,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,33,0,0,1,0,0,0,0,0,0,0,0,0,12,0,53,0,0,3,0,2,0,0,0,0,0,POINT (-79.566173 43.672876),976,195,257,51,504,101,215,43,3145,5185,2505,2355,1540,570,3290,6140,2675,2240,550,405
36 Summerfield Cres,eringate-centennial-west deane,43.660051,-79.572874,1100000,4,2,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,31,0,0,0,0,2,0,0,0,0,1,0,0,13,0,61,0,1,0,0,7,0,0,0,0,1,POINT (-79.572874 43.660051),976,195,257,51,504,101,215,43,3145,5185,2505,2355,1540,570,3290,6140,2675,2240,550,405
1009 - 714 The West Mall W,eringate-centennial-west deane,43.655688,-79.57154,573900,3,2,,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,4,0,31,0,0,0,0,2,0,0,0,0,1,0,0,13,0,69,1,2,2,0,7,0,0,0,0,1,POINT (-79.57154 43.655688),976,195,257,51,504,101,215,43,3145,5185,2505,2355,1540,570,3290,6140,2675,2240,550,405
17 Zorra St #701,etobicoke city centre,43.621292,-79.52083,469900,1 bd,1 ba,,0,0,0,1,6,1,4,5,0,5,0,0,0,0,0,0,0,0,1,37,1,5,8,0,11,0,0,0,0,0,0,0,1,2,68,4,12,12,1,20,0,0,0,0,1,POINT (-79.52083 43.621292),3158,632,935,187,1333,267,890,178,3445,7335,3365,3305,1915,725,3610,8710,3775,2885,580,540
5 Mabelle Ave #2328,etobicoke city centre,43.646719,-79.525449,749000,3 bds,2 ba,,0,1,1,2,29,1,11,3,0,10,0,0,0,0,0,0,1,11,2,58,4,19,4,0,17,0,0,0,0,0,0,1,11,2,102,6,25,9,1,24,0,0,0,0,0,POINT (-79.525449 43.646719),3158,632,935,187,1333,267,890,178,3445,7335,3365,3305,1915,725,3610,8710,3775,2885,580,540
235 Sherway Gardens Rd #2010,etobicoke city centre,43.609301,-79.559016,650000,2 bds,2 ba,,1,0,0,0,16,0,4,6,0,20,0,0,0,0,0,1,0,1,1,27,0,10,8,0,24,0,0,0,0,1,1,0,2,4,42,0,16,10,0,33,0,0,0,0,3,POINT (-79.559016 43.609301),3158,632,935,187,1333,267,890,178,3445,7335,3365,3305,1915,725,3610,8710,3775,2885,580,540
30 Fieldway Rd #98,etobicoke city centre,43.642292,-79.528276,699900,2 bds,2 ba,,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2,1,2,65,4,19,6,0,17,0,0,0,0,0,0,3,12,3,127,4,25,11,2,25,0,0,0,0,1,POINT (-79.528276 43.642292),3158,632,935,187,1333,267,890,178,3445,7335,3365,3305,1915,725,3610,8710,3775,2885,580,540
1195 The Queensway E #102,etobicoke city centre,43.621626,-79.522481,399999,1 bd,1 ba,,0,0,0,1,10,1,4,3,0,6,0,0,0,0,0,0,0,0,1,36,1,6,8,0,10,0,0,0,0,0,0,0,1,2,68,3,11,11,1,18,0,0,0,0,1,POINT (-79.522481 43.621626),3158,632,935,187,1333,267,890,178,3445,7335,3365,3305,1915,725,3610,8710,3775,2885,580,540
53 Lynnford Dr,etobicoke city centre,43.633447,-79.553653,1179000,4 bds,2 ba,,0,0,2,0,7,1,1,2,0,5,0,0,0,0,2,0,0,3,1,37,1,1,3,0,6,0,0,0,0,2,0,0,3,1,70,2,10,6,0,11,0,0,0,0,2,POINT (-79.553653 43.633447),3158,632,935,187,1333,267,890,178,3445,7335,3365,3305,1915,725,3610,8710,3775,2885,580,540
9 Michael Power Pl E #615,etobicoke city centre,43.644663,-79.529405,499000,1 bd,1 ba,,0,0,1,0,22,2,9,1,0,6,0,0,0,0,0,0,1,2,2,68,3,18,6,1,18,0,0,0,0,0,0,3,12,3,130,4,25,11,2,26,0,0,0,0,1,POINT (-79.529405 43.644663),3158,632,935,187,1333,267,890,178,3445,7335,3365,3305,1915,725,3610,8710,3775,2885,580,540
1233 - 35 Viking Lane,etobicoke city centre,43.639707,-79.535225,697800,2,2,,0,1,0,1,31,0,6,4,2,5,0,0,0,0,1,0,2,1,1,75,2,14,8,2,13,0,0,0,0,1,0,3,3,3,129,2,25,12,2,19,0,0,0,0,2,POINT (-79.535225 43.639707),3158,632,935,187,1333,267,890,178,3445,7335,3365,3305,1915,725,3610,8710,3775,2885,580,540
8 - 275 Van Dusen Boulevard,etobicoke city centre,43.63981,-79.529475,1099000,3,2,,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,2,1,2,65,2,10,6,2,14,0,0,0,0,1,0,3,10,4,132,4,28,11,2,27,0,0,0,0,2,POINT (-79.529475 43.63981),3158,632,935,187,1333,267,890,178,3445,7335,3365,3305,1915,725,3610,8710,3775,2885,580,540
1202 Islington Ave,etobicoke city centre,43.643159,-79.523086,1199000,3,2,,0,1,0,1,18,2,7,1,0,8,0,0,0,0,0,0,1,11,2,48,2,14,4,0,13,0,0,0,0,0,0,2,12,3,100,7,26,9,1,25,0,0,0,0,1,POINT (-79.523086 43.643159),3158,632,935,187,1333,267,890,178,3445,7335,3365,3305,1915,725,3610,8710,3775,2885,580,540
2405 - 36 Zorra St,etobicoke city centre,43.619778,-79.521779,600000,3,2,,0,0,0,1,8,1,4,3,0,6,0,0,0,0,0,0,0,0,1,36,1,5,8,0,10,0,0,0,0,0,0,0,1,2,76,3,11,11,1,18,0,0,0,0,1,POINT (-79.521779 43.619778),3158,632,935,187,1333,267,890,178,3445,7335,3365,3305,1915,725,3610,8710,3775,2885,580,540
412 - 17 Zorra St,etobicoke city centre,43.621925,-79.522357,475000,1,1,,0,0,0,1,9,1,4,3,0,6,0,0,0,0,0,0,0,0,1,37,1,6,8,0,10,0,0,0,0,0,0,0,1,2,67,3,11,11,1,18,0,0,0,0,1,POINT (-79.522357 43.621925),3158,632,935,187,1333,267,890,178,3445,7335,3365,3305,1915,725,3610,8710,3775,2885,580,540
317 - 1 Michael Power Pl,etobicoke city centre,43.644648,-79.530789,479000,2,1,,0,0,1,0,14,2,8,1,0,6,0,0,0,0,0,0,2,1,2,74,2,16,7,2,16,0,0,0,0,1,0,3,12,3,134,4,26,11,2,27,0,0,0,0,1,POINT (-79.530789 43.644648),3158,632,935,187,1333,267,890,178,3445,7335,3365,3305,1915,725,3610,8710,3775,2885,580,540
209 - 17 Zorra St,etobicoke city centre,43.621925,-79.522357,629000,2,2,,0,0,0,1,9,1,4,3,0,6,0,0,0,0,0,0,0,0,1,37,1,6,8,0,10,0,0,0,0,0,0,0,1,2,67,3,11,11,1,18,0,0,0,0,1,POINT (-79.522357 43.621925),3158,632,935,187,1333,267,890,178,3445,7335,3365,3305,1915,725,3610,8710,3775,2885,580,540
21 Groverdale Rd,etobicoke west mall,43.650171,-79.575026,1275000,3 bds,2 ba,,0,0,1,0,6,0,0,0,0,2,0,0,0,0,0,0,0,3,0,35,1,0,2,0,7,0,0,0,0,1,0,0,15,0,77,2,3,4,0,10,0,0,0,0,2,POINT (-79.575026 43.650171),790,158,313,63,267,53,210,42,1930,4100,1575,1205,605,185,1995,4725,1625,910,225,115
10 Eva Rd #601,etobicoke west mall,43.641355,-79.562771,680000,3 bds,2 ba,,0,0,0,0,8,0,1,1,0,1,0,0,0,0,0,0,0,3,0,48,1,4,4,0,5,0,0,0,0,0,0,0,5,0,76,1,4,5,0,9,0,0,0,0,2,POINT (-79.562771 43.641355),790,158,313,63,267,53,210,42,1930,4100,1575,1205,605,185,1995,4725,1625,910,225,115
1205 - 6 Eva Rd,etobicoke west mall,43.639707,-79.563077,509000,1,1,,0,0,1,0,10,0,1,0,0,2,0,0,0,0,0,0,0,3,0,48,1,4,4,0,5,0,0,0,0,0,0,0,7,0,81,2,5,5,0,11,0,0,0,0,3,POINT (-79.563077 43.639707),790,158,313,63,267,53,210,42,1930,4100,1575,1205,605,185,1995,4725,1625,910,225,115
10 Deerlick Ct #518,fenside-parkwoods,43.759433,-79.332085,599990,2 bds,2 ba,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,38,0,0,1,0,4,0,0,0,0,1,0,0,12,0,71,0,8,3,0,7,0,0,0,0,1,POINT (-79.332085 43.759433),1069,214,512,102,313,63,244,49,3830,7140,2570,1790,1000,270,3950,8145,2465,1545,290,210
70 Pynford Cres,fenside-parkwoods,43.758039,-79.318002,1029888,6 bds,2 ba,,0,0,2,0,12,1,1,0,0,0,0,0,0,0,0,0,0,8,0,43,1,6,4,0,9,0,0,0,0,2,0,0,14,0,66,1,6,4,0,12,0,0,0,0,2,POINT (-79.318002 43.758039),1069,214,512,102,313,63,244,49,3830,7140,2570,1790,1000,270,3950,8145,2465,1545,290,210
301 - 1350 York Mills Rd,fenside-parkwoods,43.763222,-79.319141,549900,2,1,,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,6,0,34,1,2,3,0,8,0,0,0,0,1,0,0,12,0,81,1,12,5,0,20,0,0,0,0,3,POINT (-79.319141 43.763222),1069,214,512,102,313,63,244,49,3830,7140,2570,1790,1000,270,3950,8145,2465,1545,290,210
1602 - 10 Deerlick Crt,fenside-parkwoods,43.759433,-79.332085,690000,2,2,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,38,0,0,1,0,4,0,0,0,0,1,0,0,12,0,71,0,8,3,0,7,0,0,0,0,1,POINT (-79.332085 43.759433),1069,214,512,102,313,63,244,49,3830,7140,2570,1790,1000,270,3950,8145,2465,1545,290,210
2 Sonic Way #1708,flemingdon park,43.719497,-79.336408,499000,1 bd,1 ba,,0,0,0,0,16,0,2,0,0,1,0,0,0,0,0,0,0,0,1,35,0,7,0,0,4,0,0,0,0,1,0,0,4,2,76,0,13,1,0,7,0,0,0,0,1,POINT (-79.336408 43.719497),1272,254,751,150,277,55,244,49,4675,8215,2160,1435,525,145,4790,9015,2085,1045,155,80
10 Gateway Blvd #402,flemingdon park,43.709781,-79.332708,499000,2 bds,2 ba,,0,0,4,0,9,0,0,0,0,0,0,0,0,0,1,0,0,4,1,29,0,4,0,0,3,0,0,0,0,1,0,0,4,2,77,0,12,2,0,12,0,0,0,0,1,POINT (-79.332708 43.709781),1272,254,751,150,277,55,244,49,4675,8215,2160,1435,525,145,4790,9015,2085,1045,155,80
10 Edgecliff Golfway #317,flemingdon park,43.719222,-79.326516,560000,3 bds,2 ba,"1,100 sqft",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,1,31,0,3,1,0,2,0,0,0,0,0,0,0,4,1,76,0,6,2,0,4,0,0,0,0,1,POINT (-79.326516 43.719222),1272,254,751,150,277,55,244,49,4675,8215,2160,1435,525,145,4790,9015,2085,1045,155,80
2809 - 2 Sonic Way,flemingdon park,43.719497,-79.336408,499900,1,1,,0,0,0,0,16,0,2,0,0,1,0,0,0,0,0,0,0,0,1,35,0,7,0,0,4,0,0,0,0,1,0,0,4,2,76,0,13,1,0,7,0,0,0,0,1,POINT (-79.336408 43.719497),1272,254,751,150,277,55,244,49,4675,8215,2160,1435,525,145,4790,9015,2085,1045,155,80
1408 - 725 Don Mills Rd,flemingdon park,43.711436,-79.333347,299000,1,1,,0,0,4,1,11,0,4,0,0,3,0,0,0,0,1,0,0,4,1,32,0,4,0,0,3,0,0,0,0,1,0,0,4,1,72,0,10,0,0,9,0,0,0,0,1,POINT (-79.333347 43.711436),1272,254,751,150,277,55,244,49,4675,8215,2160,1435,525,145,4790,9015,2085,1045,155,80
1507 - 60 Pavane Linkway,flemingdon park,43.711279,-79.322982,400000,2,1,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,5,1,82,0,6,1,0,4,0,0,0,0,1,POINT (-79.322982 43.711279),1272,254,751,150,277,55,244,49,4675,8215,2160,1435,525,145,4790,9015,2085,1045,155,80
Uph106 - 797 Don Mills Rd,flemingdon park,43.7195,-79.337719,569999,2,1,,0,0,0,0,17,0,1,0,0,1,0,0,0,0,0,0,0,0,2,29,0,11,0,0,4,0,0,0,0,1,0,0,4,2,80,0,15,1,0,7,0,0,0,0,1,POINT (-79.337719 43.7195),1272,254,751,150,277,55,244,49,4675,8215,2160,1435,525,145,4790,9015,2085,1045,155,80
740 Eglinton Ave W #301,forest hill north,43.702079,-79.421814,499000,2 bds,1 ba,,0,0,1,0,25,0,0,1,0,0,0,0,0,0,0,0,0,1,1,52,2,21,4,0,6,0,0,0,0,1,0,0,6,2,82,2,30,8,0,8,0,0,0,0,1,POINT (-79.421814 43.702079),696,139,172,34,348,70,176,35,1710,3815,1260,1035,835,1300,1800,4220,1415,955,405,1165
590 Briar Hill Ave,forest hill north,43.709509,-79.420538,5790000,4 bds,8 ba,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,37,0,4,0,0,0,0,0,0,0,0,0,0,6,3,92,2,30,8,0,12,0,0,0,0,1,POINT (-79.420538 43.709509),696,139,172,34,348,70,176,35,1710,3815,1260,1035,835,1300,1800,4220,1415,955,405,1165
8 Park Hill Road,forest hill north,43.698945,-79.437815,1698000,4,3,,0,1,1,0,13,0,1,1,0,2,0,0,0,0,0,0,1,7,2,36,1,20,2,0,12,0,0,0,0,0,0,2,9,3,96,1,42,16,0,30,0,0,0,0,3,POINT (-79.437815 43.698945),696,139,172,34,348,70,176,35,1710,3815,1260,1035,835,1300,1800,4220,1415,955,405,1165
84 Old Forest Hill Rd,forest hill south,43.698984,-79.418189,16950000,7 bds,8 ba,,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50,1,10,4,0,3,0,0,0,0,0,0,0,5,3,84,3,37,13,0,15,0,0,0,0,1,POINT (-79.418189 43.698984),700,140,123,25,447,89,130,26,1525,2350,1190,1215,905,1975,1680,2780,1390,1135,425,1765
5 Dewbourne Ave,forest hill south,43.699375,-79.420442,14850000,6 bds,6 ba,,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2,2,54,1,17,4,0,4,0,0,0,0,1,0,0,5,2,83,2,35,10,0,11,0,0,0,0,1,POINT (-79.420442 43.699375),700,140,123,25,447,89,130,26,1525,2350,1190,1215,905,1975,1680,2780,1390,1135,425,1765
101 Dunloe Rd,forest hill south,43.696392,-79.413647,13990000,5 bds,7 ba,,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,2,32,1,17,8,0,7,0,0,0,0,0,0,1,8,2,107,2,24,11,0,10,0,0,0,0,0,POINT (-79.413647 43.696392),700,140,123,25,447,89,130,26,1525,2350,1190,1215,905,1975,1680,2780,1390,1135,425,1765
314 Rosemary Rd,forest hill south,43.696839,-79.421627,10995000,6 bds,9 ba,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,1,50,0,13,2,0,6,0,0,0,0,1,0,1,8,3,87,2,33,10,0,12,0,0,0,0,1,POINT (-79.421627 43.696839),700,140,123,25,447,89,130,26,1525,2350,1190,1215,905,1975,1680,2780,1390,1135,425,1765
474 Russell Hill Rd,forest hill south,43.697789,-79.413426,16895000,5 bds,6 ba,,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,1,33,1,15,7,0,4,0,0,0,0,0,0,1,6,2,97,2,25,11,0,10,0,0,0,0,0,POINT (-79.413426 43.697789),700,140,123,25,447,89,130,26,1525,2350,1190,1215,905,1975,1680,2780,1390,1135,425,1765
253 Dunvegan Rd,forest hill south,43.699453,-79.414977,9885000,7bds,9ba,,0,0,1,0,14,1,7,2,0,0,0,0,0,0,0,0,0,3,1,36,1,14,6,0,3,0,0,0,0,0,0,0,5,3,96,2,26,12,0,12,0,0,0,0,1,POINT (-79.414977 43.699453),700,140,123,25,447,89,130,26,1525,2350,1190,1215,905,1975,1680,2780,1390,1135,425,1765
302 Richview Ave,forest hill south,43.695952,-79.422548,2799000,4 bds,5 ba,,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,1,48,1,13,2,0,6,0,0,0,0,1,0,1,7,3,89,2,32,14,0,14,0,0,0,0,2,POINT (-79.422548 43.695952),700,140,123,25,447,89,130,26,1525,2350,1190,1215,905,1975,1680,2780,1390,1135,425,1765
23 Dewbourne Ave,forest hill south,43.699157,-79.423254,5995000,8 bds,8 ba,,0,0,0,1,17,0,1,1,0,2,0,0,0,0,0,0,0,2,1,54,1,17,3,0,6,0,0,0,0,1,0,1,7,2,87,2,26,6,0,7,0,0,0,0,1,POINT (-79.423254 43.699157),700,140,123,25,447,89,130,26,1525,2350,1190,1215,905,1975,1680,2780,1390,1135,425,1765
32 Ava Rd,forest hill south,43.697906,-79.421226,5995000,6 bds,6 ba,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,1,53,0,16,2,0,6,0,0,0,0,1,0,0,7,3,84,2,35,10,0,13,0,0,0,0,1,POINT (-79.421226 43.697906),700,140,123,25,447,89,130,26,1525,2350,1190,1215,905,1975,1680,2780,1390,1135,425,1765
217 Richview Ave,forest hill south,43.695007,-79.421605,7695000,6 bds,8 ba,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,42,0,7,2,0,3,0,0,0,0,1,0,1,7,3,93,3,41,15,0,20,0,0,0,0,2,POINT (-79.421605 43.695007),700,140,123,25,447,89,130,26,1525,2350,1190,1215,905,1975,1680,2780,1390,1135,425,1765
80 Old Forest Hill Rd,forest hill south,43.698893,-79.417749,7995000,5 bds,5 ba,,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,2,1,48,1,10,4,0,1,0,0,0,0,0,0,0,5,3,88,3,38,13,0,16,0,0,0,0,1,POINT (-79.417749 43.698893),700,140,123,25,447,89,130,26,1525,2350,1190,1215,905,1975,1680,2780,1390,1135,425,1765
173 Dunvegan Rd,forest hill south,43.696803,-79.408729,13800000,4 bds,7 ba,,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,3,1,40,2,20,9,0,8,0,0,0,0,0,0,1,6,4,117,6,47,18,0,23,0,0,0,0,3,POINT (-79.408729 43.696803),700,140,123,25,447,89,130,26,1525,2350,1190,1215,905,1975,1680,2780,1390,1135,425,1765
335 Lonsdale Rd #406,forest hill south,43.68827,-79.413549,509000,2 bds,1 ba,,0,1,1,1,17,0,6,3,0,5,0,0,0,0,0,0,1,4,1,48,1,10,5,0,13,0,0,0,0,0,0,1,9,1,87,1,21,13,0,17,0,0,0,0,1,POINT (-79.413549 43.68827),700,140,123,25,447,89,130,26,1525,2350,1190,1215,905,1975,1680,2780,1390,1135,425,1765
67 Hillholm Rd,forest hill south,43.697374,-79.411721,15500000,7 bds,7 ba,,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,2,41,2,19,9,0,6,0,0,0,0,0,0,1,7,2,103,2,25,11,0,10,0,0,0,0,0,POINT (-79.411721 43.697374),700,140,123,25,447,89,130,26,1525,2350,1190,1215,905,1975,1680,2780,1390,1135,425,1765
293 Chaplin Cres,forest hill south,43.701923,-79.415895,2795000,5,4,,0,0,0,1,14,1,9,2,0,0,0,0,0,0,0,0,0,4,1,39,2,15,5,0,3,0,0,0,0,0,0,0,4,2,90,2,28,10,0,9,0,0,0,0,1,POINT (-79.415895 43.701923),700,140,123,25,447,89,130,26,1525,2350,1190,1215,905,1975,1680,2780,1390,1135,425,1765
30 Western Battery Rd #316,fort york-liberty village,43.639688,-79.412489,549900,1 bd,1 ba,,0,0,0,1,10,1,3,5,0,8,0,0,0,0,0,0,1,1,3,31,7,52,34,0,24,0,0,0,0,1,0,1,5,9,48,14,136,61,0,57,0,0,0,0,5,POINT (-79.412489 43.639688),1224,245,696,139,295,59,233,47,2195,4680,3045,4020,2890,1480,2305,5905,3920,4035,1120,1020
600 Fleet St #717,fort york-liberty village,43.636698,-79.400078,748800,2 bds,2 ba,,0,0,1,4,4,0,7,4,0,2,0,0,0,0,1,0,0,1,6,12,8,44,22,0,17,0,0,0,0,3,0,0,3,12,24,16,137,55,0,60,0,0,0,0,7,POINT (-79.400078 43.636698),1224,245,696,139,295,59,233,47,2195,4680,3045,4020,2890,1480,2305,5905,3920,4035,1120,1020
21 Grand Magazine St #1907,fort york-liberty village,43.636466,-79.402056,799900,2 bds,2 ba,,0,0,0,3,3,0,2,4,0,2,0,0,0,0,1,0,0,1,6,16,7,39,22,0,10,0,0,0,0,3,0,0,3,11,26,15,127,54,0,62,0,0,0,0,6,POINT (-79.402056 43.636466),1224,245,696,139,295,59,233,47,2195,4680,3045,4020,2890,1480,2305,5905,3920,4035,1120,1020
215 Fort York Blvd #301,fort york-liberty village,43.636466,-79.404588,599900,2 bds,1 ba,,0,0,0,1,6,0,1,2,0,1,0,0,0,0,1,0,0,1,5,18,5,32,20,0,14,0,0,0,0,3,0,0,4,9,32,13,110,50,0,47,0,0,0,0,4,POINT (-79.404588 43.636466),1224,245,696,139,295,59,233,47,2195,4680,3045,4020,2890,1480,2305,5905,3920,4035,1120,1020
125 Western Battery Rd #2207,fort york-liberty village,43.639868,-79.416734,895000,3 bds,2 ba,,0,1,0,3,14,2,11,9,0,7,0,0,0,0,0,0,1,2,5,32,6,56,30,0,30,0,0,0,0,1,0,1,6,8,53,12,116,54,0,52,0,0,0,0,4,POINT (-79.416734 43.639868),1224,245,696,139,295,59,233,47,2195,4680,3045,4020,2890,1480,2305,5905,3920,4035,1120,1020
86 Sloping Sky Mews #TOWNHOUSE 6,fort york-liberty village,43.636887,-79.403026,1550000,4 bds,3 ba,,0,0,0,4,6,0,1,5,0,1,0,0,0,0,1,0,0,1,5,16,6,40,21,0,10,0,0,0,0,3,0,0,4,11,28,15,124,56,0,63,0,0,0,0,6,POINT (-79.403026 43.636887),1224,245,696,139,295,59,233,47,2195,4680,3045,4020,2890,1480,2305,5905,3920,4035,1120,1020
19 Western Battery Rd #1803,fort york-liberty village,43.63957,-79.411329,659900,2 bds,2 ba,,0,0,0,1,9,1,3,6,0,5,0,0,0,0,0,0,1,1,5,27,6,49,28,0,25,0,0,0,0,2,0,1,5,12,47,14,142,62,0,56,0,0,0,0,5,POINT (-79.411329 43.63957),1224,245,696,139,295,59,233,47,2195,4680,3045,4020,2890,1480,2305,5905,3920,4035,1120,1020
50 Bruyeres Mews #718,fort york-liberty village,43.637658,-79.402351,588000,2 bds,1 ba,,0,0,0,4,5,0,4,8,0,3,0,0,0,0,1,0,0,2,6,16,8,45,22,0,11,0,0,0,0,3,0,0,4,11,27,17,138,59,0,66,0,0,0,0,7,POINT (-79.402351 43.637658),1224,245,696,139,295,59,233,47,2195,4680,3045,4020,2890,1480,2305,5905,3920,4035,1120,1020
50 Ordnance St #1703,fort york-liberty village,43.639789,-79.409842,549900,1 bd,1 ba,,0,0,0,0,7,2,5,4,0,5,0,0,0,0,0,0,0,2,4,28,8,50,30,0,27,0,0,0,0,2,0,1,7,11,47,13,139,67,0,63,0,0,0,0,5,POINT (-79.409842 43.639789),1224,245,696,139,295,59,233,47,2195,4680,3045,4020,2890,1480,2305,5905,3920,4035,1120,1020
650 Queens Quay W #921,fort york-liberty village,43.635702,-79.398839,389000,1 bd,1 ba,,0,0,1,2,3,0,6,4,0,2,0,0,0,0,1,0,0,1,5,10,4,26,19,0,12,0,0,0,0,1,0,0,3,11,20,12,131,52,0,60,0,0,0,0,8,POINT (-79.398839 43.635702),1224,245,696,139,295,59,233,47,2195,4680,3045,4020,2890,1480,2305,5905,3920,4035,1120,1020
19 Western Battery Rd #2310,fort york-liberty village,43.63957,-79.411329,599999,3 bds,2 ba,,0,0,0,1,9,1,3,6,0,5,0,0,0,0,0,0,1,1,5,27,6,49,28,0,25,0,0,0,0,2,0,1,5,12,47,14,142,62,0,56,0,0,0,0,5,POINT (-79.411329 43.63957),1224,245,696,139,295,59,233,47,2195,4680,3045,4020,2890,1480,2305,5905,3920,4035,1120,1020
826 - 35 Bastion St,fort york-liberty village,43.637197,-79.403572,649000,1,1,,0,0,0,3,7,0,1,5,0,1,0,0,0,0,1,0,0,2,5,17,6,41,21,0,10,0,0,0,0,3,0,0,4,11,31,15,124,57,0,62,0,0,0,0,6,POINT (-79.403572 43.637197),1224,245,696,139,295,59,233,47,2195,4680,3045,4020,2890,1480,2305,5905,3920,4035,1120,1020
3002 - 20 Bruyeres Mews,fort york-liberty village,43.637552,-79.4008,1099000,2,2,,0,0,1,4,4,0,7,6,0,3,0,0,0,0,1,0,0,2,6,13,8,51,26,0,15,0,0,0,0,3,0,0,3,13,24,17,144,57,0,66,0,0,0,0,7,POINT (-79.4008 43.637552),1224,245,696,139,295,59,233,47,2195,4680,3045,4020,2890,1480,2305,5905,3920,4035,1120,1020
